Product Id,Title,Product Url,Author Name,Book Type,Original Price,Discounted Price,ISBN10,Published Date,Publisher,Number of Pages
9781101604045,The Diet Cure,https://www.booktopia.com.au/the-diet-cure-julia-ross/ebook/9781101604045.html,Julia Ross,ebook,18.85,15.99,1101604042,2012-05-02,Penguin Publishing Group,
9780297867319,"Where'd You Go, Bernadette",https://www.booktopia.com.au/where-d-you-go-bernadette-maria-semple/ebook/9780297867319.html,Maria Semple,ebook,11.99,11.99,0297867318,2012-06-07,Orion,304
9781405928281,Anything You Do Say,https://www.booktopia.com.au/anything-you-do-say-gillian-mcallister/ebook/9781405928281.html,Gillian McAllister,ebook,15.99,15.99,140592828X,2017-10-19,Penguin Books Ltd,400
9781101543771,Willpower,https://www.booktopia.com.au/willpower-roy-f-baumeister/ebook/9781101543771.html,Roy F. Baumeister,ebook,21.75,21.75,1101543779,2011-09-01,,304
9780753555200,Zero to One,https://www.booktopia.com.au/zero-to-one-peter-thiel/book/9780753555200.html,Peter Thiel,book,24.99,21.75,0753555204,2015-06-04,RANDOM HOUSE UK,224
9780141967448,The Secret Pilgrim,https://www.booktopia.com.au/the-secret-pilgrim-john-le-carr-/ebook/9780141967448.html,John le Carré,ebook,15.99,15.99,0141967447,2011-05-26,Penguin Books Ltd,416
9780748113378,The Year Of The Flood,https://www.booktopia.com.au/the-year-of-the-flood-margaret-atwood/ebook/9780748113378.html,Margaret Atwood,ebook,12.99,12.99,0748113371,2010-07-27,"Little, Brown Book Group",432
9780749954215,Glory in Death,https://www.booktopia.com.au/glory-in-death-j-d-robb/book/9780749954215.html,J.D. Robb,book,22.99,20.35,0749954213,2011-01-01,Little Brown,416
9780141900834,Queen Camilla,https://www.booktopia.com.au/queen-camilla-sue-townsend/ebook/9780141900834.html,Sue Townsend,ebook,15.99,15.99,0141900830,2007-09-06,Penguin Books Ltd,464
9780307982773,Big Frank's Fire Truck,https://www.booktopia.com.au/big-frank-s-fire-truck-leslie-mcguire/ebook/9780307982773.html,Leslie McGuire,ebook,8.79,7.99,0307982777,2014-08-27,Random House Children's Books,
9781407024776,Secrets Of The Baby Whisperer,https://www.booktopia.com.au/secrets-of-the-baby-whisperer-tracy-hogg/ebook/9781407024776.html,Tracy Hogg,ebook,19.99,19.99,1407024779,2009-12-01,Ebury Publishing,304
9780007350865,A Christmas Carol,https://www.booktopia.com.au/a-christmas-carol-charles-dickens/book/9780007350865.html,Charles Dickens,book,8.25,8.25,0007350864,2010-04-01,HarperCollins Publishers,144
9780748129089,Dark Lover,https://www.booktopia.com.au/dark-lover-j-r-ward/ebook/9780748129089.html,J. R. Ward,ebook,11.99,11.99,0748129081,2011-02-03,"Little, Brown Book Group",480
9780785178262,X-Men,https://www.booktopia.com.au/x-men-chris-claremont/ebook/9780785178262.html,Chris Claremont,ebook,19.06,15.99,0785178260,2014-11-05,Marvel Entertainment,
9780718186494,Darien,https://www.booktopia.com.au/darien-c-f-iggulden/ebook/9780718186494.html,C. F. Iggulden,ebook,15.99,15.99,0718186494,2017-07-13,Penguin Books Ltd,352
9780141930015,The Help,https://www.booktopia.com.au/the-help-kathryn-stockett/ebook/9780141930015.html,Kathryn Stockett,ebook,15.99,15.99,0141930012,2009-07-23,Penguin Books Ltd,464
9780141911113,The Big Sleep,https://www.booktopia.com.au/the-big-sleep-raymond-chandler/ebook/9780141911113.html,Raymond Chandler,ebook,15.99,15.99,0141911115,2005-07-07,Penguin Books Ltd,224
9780743499965,Star Trek,https://www.booktopia.com.au/star-trek-vonda-n-mcintyre/ebook/9780743499965.html,Vonda N. McIntyre,ebook,23.99,23.99,0743499964,2004-10-26,Pocket Books/Star Trek,464
9780755387359,Violets are Blue,https://www.booktopia.com.au/violets-are-blue-james-patterson/ebook/9780755387359.html,James Patterson,ebook,12.99,12.99,075538735X,2011-06-23,Headline,335
9780356512280,The Last Astronaut,https://www.booktopia.com.au/the-last-astronaut-david-wellington/ebook/9780356512280.html,David Wellington,ebook,12.99,12.99,0356512282,2019-07-23,"Little, Brown Book Group",384
9780857077295,Missing Me,https://www.booktopia.com.au/missing-me-sophie-mckenzie/ebook/9780857077295.html,Sophie McKenzie,ebook,10.99,10.99,0857077295,2012-09-13,Simon & Schuster UK,304
9781306358422,Bulfinch's Medieval Mythology,https://www.booktopia.com.au/bulfinch-s-medieval-mythology-thomas-bulfinch/book/9781306358422.html,Thomas Bulfinch,book,0,0,1306358426,2012-01-01,DOVER PUBLICATIONS,
9780241976579,Emotional Agility,https://www.booktopia.com.au/emotional-agility-susan-david/ebook/9780241976579.html,Susan David,ebook,15.99,15.99,024197657X,2016-04-07,Penguin Books Ltd,272
9781306072465,Privateer's Revenge,https://www.booktopia.com.au/privateer-s-revenge-julian-stockwin/ebook/9781306072465.html,Julian Stockwin,ebook,0,0,1306072468,2008-01-01,McBooks Press,325
9781250185464,Exit Strategy,https://www.booktopia.com.au/exit-strategy-martha-wells/ebook/9781250185464.html,Martha Wells,ebook,20.53,16.99,1250185467,2018-10-02,Tor Publishing Group,
9780141923505,East of Eden,https://www.booktopia.com.au/east-of-eden-david-wyatt/ebook/9780141923505.html,David Wyatt,ebook,15.99,15.99,0141923504,2000-09-07,Penguin Books Ltd,640
9780755352449,The Island,https://www.booktopia.com.au/the-island-victoria-hislop/ebook/9780755352449.html,Victoria Hislop,ebook,11.99,11.99,0755352440,2008-02-10,Headline,300
9780393347777,Naked Statistics,https://www.booktopia.com.au/naked-statistics-charles-wheelan/book/9780393347777.html,Charles Wheelan,book,29.95,22.25,039334777X,2014-01-13,W W Norton & Company,304
9780755352012,An Offer You Can't Refuse,https://www.booktopia.com.au/an-offer-you-can-t-refuse-jill-mansell/ebook/9780755352012.html,Jill Mansell,ebook,12.99,12.99,0755352017,2008-02-10,Headline,300
9781370483051,Mist's Edge,https://www.booktopia.com.au/mist-s-edge-t-a-white/ebook/9781370483051.html,T.A. White,ebook,5.48,5.48,1370483058,2017-11-28,T.A. White,
9780307796189,Dark Force Rising,https://www.booktopia.com.au/dark-force-rising-timothy-zahn/ebook/9780307796189.html,Timothy Zahn,ebook,10.47,9.12,0307796183,2011-06-28,Random House Worlds,
9780753553084,The 7 Second CV,https://www.booktopia.com.au/the-7-second-cv-james-reed/ebook/9780753553084.html,James Reed,ebook,18.99,18.99,0753553082,2019-01-03,Ebury Publishing,208
9780395657867,Enneagram Transformations,https://www.booktopia.com.au/enneagram-transformations-don-richard-riso/book/9780395657867.html,Don Richard Riso,book,32.5,32.5,0395657865,1993-01-29,HarperCollins Publishers,144
9780297868385,The Hairy Bikers' Big Book of Baking,https://www.booktopia.com.au/the-hairy-bikers-big-book-of-baking-hairy-bikers/ebook/9780297868385.html,Hairy Bikers,ebook,19.99,19.99,0297868381,2012-03-01,Orion,224
9780297860242,Sharp Objects,https://www.booktopia.com.au/sharp-objects-gillian-flynn/ebook/9780297860242.html,Gillian Flynn,ebook,11.99,11.99,0297860240,2009-09-03,Orion,336
9781370211678,Spanish for Geniuses,https://www.booktopia.com.au/spanish-for-geniuses-andromeda-jones/ebook/9781370211678.html,Andromeda Jones,ebook,0,0,1370211678,2017-03-01,Andromeda Jones,
9781306020725,Shadowbreaker,https://www.booktopia.com.au/shadowbreaker-joy-ellis/book/9781306020725.html,Joy Ellis,book,0,0,1306020727,2013-01-01,Robert Hale & Company,225
9780857388926,The Outcast Dead,https://www.booktopia.com.au/the-outcast-dead-elly-griffiths/ebook/9780857388926.html,Elly Griffiths,ebook,11.99,11.99,0857388924,2014-01-30,Quercus,400
9781105795985,A Tale of Two Cities,https://www.booktopia.com.au/a-tale-of-two-cities-charles-dickens/ebook/9781105795985.html,Charles Dickens,ebook,2.75,2.75,1105795985,2013-03-13,,0
9781405938259,"Once, Twice, Three Times an Aisling",https://www.booktopia.com.au/once-twice-three-times-an-aisling-emer-mclysaght/ebook/9781405938259.html,Emer McLysaght,ebook,15.99,15.99,1405938250,2019-09-19,Penguin Books Ltd,416
9780297855873,Dark Places,https://www.booktopia.com.au/dark-places-gillian-flynn/ebook/9780297855873.html,Gillian Flynn,ebook,12.99,11.99,0297855875,2009-05-14,Orion,368
9780141924434,Revenge of the Middle-Aged Woman,https://www.booktopia.com.au/revenge-of-the-middle-aged-woman-elizabeth-buchan/ebook/9780141924434.html,Elizabeth Buchan,ebook,15.99,15.99,0141924438,2007-08-02,Penguin Books Ltd,384
9780141909776,This Charming Man,https://www.booktopia.com.au/this-charming-man-marian-keyes/ebook/9780141909776.html,Marian Keyes,ebook,15.99,15.99,0141909773,2008-04-30,Penguin Books Ltd,912
9780141397030,As I Walked Out One Midsummer Morning,https://www.booktopia.com.au/as-i-walked-out-one-midsummer-morning-laurie-lee/ebook/9780141397030.html,Laurie Lee,ebook,14.99,14.99,0141397039,2014-06-26,Penguin Books Ltd,224
9781405935616,5 Ingredients - Quick & Easy Food,https://www.booktopia.com.au/5-ingredients-quick-easy-food-jamie-oliver/ebook/9781405935616.html,Jamie Oliver,ebook,19.99,19.99,1405935618,2017-08-24,Penguin Books Ltd,288
9780241958735,Kingdom of Fear,https://www.booktopia.com.au/kingdom-of-fear-hunter-s-thompson/ebook/9780241958735.html,Hunter S Thompson,ebook,15.99,15.99,0241958733,2011-11-24,Penguin Books Ltd,384
9780141914527,Letters from a Stoic,https://www.booktopia.com.au/letters-from-a-stoic-seneca/ebook/9780141914527.html,Seneca,ebook,10.99,10.99,0141914521,2004-08-26,Penguin Books Ltd,256
9780748112586,The Way Of Shadows,https://www.booktopia.com.au/the-way-of-shadows-brent-weeks/ebook/9780748112586.html,Brent Weeks,ebook,11.99,11.99,0748112588,2009-06-11,"Little, Brown Book Group",688
9780755396511,The Other Daughter,https://www.booktopia.com.au/the-other-daughter-lisa-gardner/book/9780755396511.html,Lisa Gardner,book,24.99,21.75,0755396510,2012-11-13,Headline,416
9780575088238,The Republic of Thieves,https://www.booktopia.com.au/the-republic-of-thieves-scott-lynch/ebook/9780575088238.html,Scott Lynch,ebook,12.99,12.99,0575088230,2013-10-10,Orion,880
9780755387144,Four Blind Mice,https://www.booktopia.com.au/four-blind-mice-james-patterson/ebook/9780755387144.html,James Patterson,ebook,12.99,12.99,0755387147,2011-06-23,Headline,330
9780768442830,Seeing Behind the Veil,https://www.booktopia.com.au/seeing-behind-the-veil-ana-werner/book/9780768442830.html,Ana Werner,book,39.71,39.71,0768442834,2018-09-18,DESTINY IMAGE INC             ,240
9781408851234,The Sixth Extinction,https://www.booktopia.com.au/the-sixth-extinction-elizabeth-kolbert/ebook/9781408851234.html,Elizabeth Kolbert,ebook,15.99,13.99,1408851237,2014-02-13,Bloomsbury Publishing,336
9780399182112,Wanderers,https://www.booktopia.com.au/wanderers-chuck-wendig/ebook/9780399182112.html,Chuck Wendig,ebook,23.99,19.99,039918211X,2019-07-02,Random House Worlds,
9780316262330,New York 2140,https://www.booktopia.com.au/new-york-2140-kim-stanley-robinson/ebook/9780316262330.html,Kim Stanley Robinson,ebook,19.99,19.99,0316262331,2017-03-21,Orbit,480
9780330513142,"Life, the Universe and Everything",https://www.booktopia.com.au/life-the-universe-and-everything-douglas-adams/ebook/9780330513142.html,Douglas Adams,ebook,13.95,10.4,0330513141,2009-09-01,,0
9780330473033,Rage,https://www.booktopia.com.au/rage-wilbur-smith/ebook/9780330473033.html,Wilbur Smith,ebook,13.95,10.5,0330473034,2008-09-04,,0
9780141960654,The Templar's Code,https://www.booktopia.com.au/the-templar-s-code-chloe-m-palov/ebook/9780141960654.html,Chloe M. Palov,ebook,15.99,15.99,0141960655,2010-10-28,Penguin Books Ltd,528
9780061981746,A Lion Among Men,https://www.booktopia.com.au/a-lion-among-men-gregory-maguire/ebook/9780061981746.html,Gregory Maguire,ebook,10.99,10.99,0061981745,2009-10-06,HarperCollins,400
9781405529631,The Secret History,https://www.booktopia.com.au/the-secret-history-donna-tartt/ebook/9781405529631.html,Donna Tartt,ebook,11.99,11.99,1405529636,2013-05-02,"Little, Brown Book Group",544
9780749020552,Peace Comes to Honeyfield,https://www.booktopia.com.au/peace-comes-to-honeyfield-anna-jacobs/book/9780749020552.html,Anna Jacobs,book,25.75,25.75,0749020555,2019-05-01,Faber Factory,352
9780748121762,Glory in Death,https://www.booktopia.com.au/glory-in-death-j-d-robb/ebook/9780748121762.html,J.D. Robb,ebook,11.99,11.99,0748121765,2010-10-07,"Little, Brown Book Group",336
9780141190693,Vile Bodies,https://www.booktopia.com.au/vile-bodies-evelyn-waugh/ebook/9780141190693.html,Evelyn Waugh,ebook,15.99,15.99,0141190698,2012-05-31,Penguin Books Ltd,256
9781407056982,Anatomy Of The Spirit,https://www.booktopia.com.au/anatomy-of-the-spirit-caroline-myss/ebook/9781407056982.html,Caroline Myss,ebook,14.5,14.5,1407056980,2010-01-26,Random House,320
9780857868770,The Humans,https://www.booktopia.com.au/the-humans-matt-haig/ebook/9780857868770.html,Matt Haig,ebook,21.08,16.99,0857868772,2013-05-09,Canongate Books,304
9781408841068,Close Call,https://www.booktopia.com.au/close-call-stella-rimington/ebook/9781408841068.html,Stella Rimington,ebook,17.58,14.99,1408841061,2014-07-03,Bloomsbury Publishing,352
9780241979723,The Infinite Game,https://www.booktopia.com.au/the-infinite-game-simon-sinek/ebook/9780241979723.html,Simon Sinek,ebook,19.99,19.99,0241979722,2019-10-15,Penguin Books Ltd,256
9781365014925,Furious,https://www.booktopia.com.au/furious-t-r-ragan/ebook/9781365014925.html,T.R. Ragan,ebook,4.5,4.5,1365014924,2016-04-01,,0
9781448151523,Shadow Hunter,https://www.booktopia.com.au/shadow-hunter-geoffrey-archer/ebook/9781448151523.html,Geoffrey Archer,ebook,15.99,15.99,144815152X,2012-08-17,Random House,320
9781407070711,The Jeeves Omnibus - Vol 1,https://www.booktopia.com.au/the-jeeves-omnibus-vol-1-p-g-wodehouse/ebook/9781407070711.html,P G Wodehouse,ebook,17.99,17.99,1407070711,2012-02-29,Random House,592
9781407010953,Kill Your Friends,https://www.booktopia.com.au/kill-your-friends-john-niven/ebook/9781407010953.html,John Niven,ebook,15.99,15.99,1407010956,2008-12-16,Random House,336
9780785160069,Spider-Man,https://www.booktopia.com.au/spider-man-todd-mcfarlane/book/9780785160069.html,Todd McFarlane,book,49.99,37.25,078516006X,2013-01-22,Marvel Comics,192
9781405512176,Fred & Rose,https://www.booktopia.com.au/fred-rose-howard-sounes/ebook/9781405512176.html,Howard Sounes,ebook,11.99,11.99,1405512172,2011-09-05,"Little, Brown Book Group",384
9780857056443,The Girl Who Takes an Eye for an Eye,https://www.booktopia.com.au/the-girl-who-takes-an-eye-for-an-eye-david-lagercrantz/ebook/9780857056443.html,David Lagercrantz,ebook,16.99,16.99,0857056441,2017-09-07,Quercus,448
9780544759213,Glow,https://www.booktopia.com.au/glow-w-h-beck/ebook/9780544759213.html,W. H. Beck,ebook,11.99,11.99,0544759214,2015-12-15,HarperCollins,32
9780141906430,Regeneration,https://www.booktopia.com.au/regeneration-pat-barker/ebook/9780141906430.html,Pat Barker,ebook,15.99,15.99,014190643X,2008-05-01,Penguin Books Ltd,256
9780544245587,Beethoven,https://www.booktopia.com.au/beethoven-jan-swafford/ebook/9780544245587.html,Jan Swafford,ebook,45.8,45.8,054424558X,2014-08-05,,994
9781407070216,Tripwire,https://www.booktopia.com.au/tripwire-lee-child/ebook/9781407070216.html,Lee Child,ebook,16.99,16.99,1407070215,2008-09-04,Transworld,560
9781407096186,The Devil's Alternative,https://www.booktopia.com.au/the-devil-s-alternative-frederick-forsyth/ebook/9781407096186.html,Frederick Forsyth,ebook,15.99,15.99,1407096184,2011-05-30,Random House,496
9780755353453,The Gladiator (Eagles of the Empire 9),https://www.booktopia.com.au/the-gladiator-eagles-of-the-empire-9--simon-scarrow/ebook/9780755353453.html,Simon Scarrow,ebook,12.99,12.99,0755353455,2009-08-06,Headline,320
9780857202970,The Night Stalker,https://www.booktopia.com.au/the-night-stalker-chris-carter/book/9780857202970.html,Chris Carter,book,22.99,20.4,0857202979,2012-03-01,Simon & Schuster UK,464
9781407071879,Cinderella Sister,https://www.booktopia.com.au/cinderella-sister-dilly-court/ebook/9781407071879.html,Dilly Court,ebook,15.99,15.99,1407071874,2011-06-02,Random House,512
9780141342610,Magnus Chase and the Ship of the Dead (Book 3),https://www.booktopia.com.au/magnus-chase-and-the-ship-of-the-dead-book-3--rick-riordan/ebook/9780141342610.html,Rick Riordan,ebook,9.99,9.99,0141342617,2017-10-03,Penguin Random House Children's UK,528
9781407070544,Friends In High Places,https://www.booktopia.com.au/friends-in-high-places-donna-leon/ebook/9781407070544.html,Donna Leon,ebook,15.99,15.99,1407070541,2010-04-13,Random House,336
9781407086071,The Leopard,https://www.booktopia.com.au/the-leopard-jo-nesbo/ebook/9781407086071.html,Jo Nesbo,ebook,15.99,15.99,1407086073,2011-01-20,Random House,752
9780241983133,Grand Union,https://www.booktopia.com.au/grand-union-zadie-smith/ebook/9780241983133.html,Zadie Smith,ebook,15.99,15.99,0241983134,2019-10-03,Penguin Books Ltd,304
9780141952123,The Winter King,https://www.booktopia.com.au/the-winter-king-bernard-cornwell/ebook/9780141952123.html,Bernard Cornwell,ebook,15.99,15.99,0141952121,2007-11-01,Penguin Books Ltd,512
9781405936019,The Whisper Man,https://www.booktopia.com.au/the-whisper-man-alex-north/ebook/9781405936019.html,Alex North,ebook,15.99,15.99,1405936010,2019-06-13,Penguin Books Ltd,400
9780755387199,"Mary, Mary",https://www.booktopia.com.au/mary-mary-james-patterson/ebook/9780755387199.html,James Patterson,ebook,12.99,12.99,0755387198,2011-04-28,Headline,327
9780316252997,The House on the Strand,https://www.booktopia.com.au/the-house-on-the-strand-daphne-du-maurier/ebook/9780316252997.html,Daphne du Maurier,ebook,9.99,9.99,0316252999,2013-12-17,"Little, Brown and Company",352
9780349419220,Someone to Trust,https://www.booktopia.com.au/someone-to-trust-mary-balogh/book/9780349419220.html,Mary Balogh,book,22.99,20.4,0349419221,2018-11-27,Little Brown,400
9780553903102,The Orphan's Tales,https://www.booktopia.com.au/the-orphan-s-tales-catherynne-valente/ebook/9780553903102.html,Catherynne Valente,ebook,10.27,9.99,0553903101,2006-10-31,Random House Worlds,
9780241983409,The Beautiful Summer,https://www.booktopia.com.au/the-beautiful-summer-cesare-pavese/ebook/9780241983409.html,Cesare Pavese,ebook,15.99,15.99,0241983401,2018-06-07,Penguin Books Ltd,112
9780141930183,Blink,https://www.booktopia.com.au/blink-malcolm-gladwell/ebook/9780141930183.html,Malcolm Gladwell,ebook,15.99,15.99,0141930187,2006-02-23,Penguin Books Ltd,304
9780544084780,The Testing Guide,https://www.booktopia.com.au/the-testing-guide-joelle-charbonneau/ebook/9780544084780.html,Joelle Charbonneau,ebook,4.99,4.99,0544084780,2013-05-01,HarperCollins,
9781409003175,Best ever recipes,https://www.booktopia.com.au/best-ever-recipes-slimming-world/ebook/9781409003175.html,Slimming World,ebook,21.99,21.99,1409003175,2014-04-30,Ebury Publishing,208
9780241966068,The Separation,https://www.booktopia.com.au/the-separation-dinah-jefferies/ebook/9780241966068.html,Dinah Jefferies,ebook,15.99,15.99,024196606X,2014-05-22,Penguin Books Ltd,320
9780998151649,Cage of Deceit,https://www.booktopia.com.au/cage-of-deceit-jennifer-anne-davis/ebook/9780998151649.html,Jennifer Anne Davis,ebook,0,0,0998151645,2019-06-19,Reign Publishing,
9780748109272,Body Of Evidence,https://www.booktopia.com.au/body-of-evidence-patricia-cornwell/ebook/9780748109272.html,Patricia Cornwell,ebook,11.99,11.99,0748109277,2008-09-04,"Little, Brown Book Group",400
9780670920501,What Are You Looking At?,https://www.booktopia.com.au/what-are-you-looking-at--will-gompertz/ebook/9780670920501.html,Will Gompertz,ebook,16.99,16.99,0670920509,2012-09-06,Penguin Books Ltd,464
9780755118397,Corridors Of Power,https://www.booktopia.com.au/corridors-of-power-c-p-snow/ebook/9780755118397.html,C.P. Snow,ebook,14.9,14.9,0755118391,2010-01-16,,368
9780241965610,How to be Both,https://www.booktopia.com.au/how-to-be-both-ali-smith/ebook/9780241965610.html,Ali Smith,ebook,15.99,15.99,0241965616,2014-08-28,Penguin Books Ltd,320
9780857863430,Orlando,https://www.booktopia.com.au/orlando-virginia-woolf/ebook/9780857863430.html,Virginia Woolf,ebook,13.74,11.99,0857863436,2012-01-05,Canongate Books,192
9780748109951,The Wasp Factory,https://www.booktopia.com.au/the-wasp-factory-iain-banks/ebook/9780748109951.html,Iain Banks,ebook,11.99,11.99,0748109951,2008-09-04,"Little, Brown Book Group",256
9780575097476,Warbreaker,https://www.booktopia.com.au/warbreaker-brandon-sanderson/ebook/9780575097476.html,Brandon Sanderson,ebook,11.99,11.99,0575097477,2011-12-29,Orion,688
9780297864004,Caesar,https://www.booktopia.com.au/caesar-adrian-goldsworthy/ebook/9780297864004.html,Adrian Goldsworthy,ebook,17.99,17.99,0297864009,2013-04-18,Orion,704
